Date	Price	Open	High	Low	Vol.	Change %
03/10/2023	103,5	104,7	106,8	103,5	41.15K	-1,14%
03/09/2023	104,69	105,04	105,44	104,6	16.35K	-0,33%
03/08/2023	105,04	105	105,9	105	18.17K	0,04%
03/07/2023	105	104,96	105,5	104,57	26.25K	0,04%
03/06/2023	104,96	104,48	105,47	104,01	20.52K	0,46%
03/03/2023	104,48	102,96	104,9	102,96	23.09K	1,48%
03/02/2023	102,96	102,1	103,44	102,1	17.38K	0,88%
03/01/2023	102,06	103,19	104,49	102	27.36K	-1,05%
02/28/2023	103,14	105,6	106,89	101,88	26.03K	-2,25%
02/27/2023	105,51	104,4	105,6	104,4	21.40K	1,06%
02/24/2023	104,4	104,08	104,96	104,06	17.36K	0,34%
02/23/2023	104,05	104,28	105	103,95	14.34K	-0,22%
02/22/2023	104,28	104	104,47	103,5	11.86K	0,27%
02/17/2023	104	103,64	104	103,39	20.60K	0,04%
02/16/2023	103,96	103,5	103,96	103,43	16.39K	0,44%
02/15/2023	103,5	103	103,76	103	20.54K	0,49%
02/14/2023	103	102,2	103	102,2	15.28K	0,78%
02/13/2023	102,2	102,18	103	102,04	16.27K	0,02%
02/10/2023	102,18	101,95	102,66	101,7	17.88K	0,23%
02/09/2023	101,95	102,15	102,6	100,4	17.59K	-0,20%
02/08/2023	102,15	102,79	102,94	101,75	22.69K	-0,62%
02/07/2023	102,79	102,93	103,82	102,48	21.92K	-0,14%
02/06/2023	102,93	103,63	104	102,61	61.35K	-0,68%
02/03/2023	103,63	102,81	103,99	102,81	21.18K	0,82%
02/02/2023	102,79	103,49	104,29	102,54	33.46K	0,50%
02/01/2023	102,28	105,88	106,01	102,11	42.72K	-3,53%
01/31/2023	106,02	106,07	106,44	105,79	25.23K	-0,81%
01/30/2023	106,89	106,98	107,18	106,5	22.04K	-0,08%
01/27/2023	106,98	106,85	107,22	106,7	21.63K	0,26%
01/26/2023	106,7	106,58	106,97	106,04	28.19K	0,11%
01/25/2023	106,58	106,01	107,06	106	19.15K	0,55%
01/24/2023	106	106,4	106,71	106	24.15K	-0,28%
01/23/2023	106,3	106,52	106,89	106,11	24.90K	-0,47%
01/20/2023	106,8	106,89	106,89	106,01	21.59K	-0,08%
01/19/2023	106,89	107,09	107,33	106,29	19.98K	-0,20%
01/18/2023	107,1	106,55	107,23	105,9	24.24K	0,52%
01/17/2023	106,55	106,2	106,7	105,99	18.53K	0,33%
01/16/2023	106,2	105,5	106,2	105,2	20.22K	0,66%
01/13/2023	105,5	104,21	105,65	104,21	25.10K	1,24%
01/12/2023	104,21	104,8	105,41	104,15	15.86K	-0,56%
