TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AAIC;2,73;0;22,4;0,36;0,07;100;103,49;14,11;3,06;32,21;29,15;3,45;3,16;0;-0,07;0;1,61;0,32;2,1;0,2;0,8;0,02;-30,1;0;0;7,55;0,12;0;77.441.091,00
AAT;17,4;7,41;24,28;0,87;0,35;63,93;27;10,29;9,26;23,34;14,08;1,32;2,5;0;-0,35;0;3,56;1,46;3,96;0,41;0,59;0,14;6,06;8,39;0;20,11;0,72;0;1.056.489.720,00
ABR;11,19;17,61;7,06;0,69;0,12;99,06;402,85;124,77;2,19;15,51;13,32;4,17;8,81;0;-0,12;0;9,7;1,67;5,49;0,17;0,83;0,01;3,69;34,73;0;16,33;1,58;0;2.012.170.134,00
ACC;65,42;0;154,52;2,95;1,22;51,87;18,95;6;48,96;67,23;18,27;1,1;9,28;0;-1,22;0;1,91;0,79;2,8;0,41;0,58;0,13;3,69;-18,56;0;22,18;0,42;0;9.124.977.860,00
ACRE;8,83;15,18;16,19;0,65;0,19;100;3.602,21;1.114,71;5,01;21,29;16,28;2,1;180,46;0;-0,19;0;3,98;1,18;3,86;0,3;0,7;0;0;-0,41;0;13,69;0,55;0;482.178.044,00
ADC;68,36;4,14;42,51;1,33;0,92;87,84;52,25;33,74;27,45;35,96;8,51;0,41;14,34;0;-0,92;0;3,13;2,16;3,38;0,69;0,31;0,06;30,97;21,27;0;51,33;1,61;0;6.164.253.624,00
AFCG;12,02;18,55;6,85;0,73;0,47;0;0;0;5,63;6,01;0,38;0,05;0;0;-0,47;0;10,6;6,92;8,62;0,65;0,35;0;0;0;0;16,55;1,75;0;246.280.184,00
AFIN;8,23;0;-97,09;0,58;0,28;74,05;20,65;-3,17;14,92;39,26;24,35;0,94;3,08;0;-0,28;0;-0,59;-0,28;1,93;0,48;0,52;0,09;11,83;0;0;14,3;-0,08;0;1.016.458.495,00
AFINO;25,7;0;-303,19;1,8;0,86;74,05;20,65;-3,17;46,58;39,26;24,35;0,94;9,62;0;-0,86;0;-0,59;-0,28;1,93;0,48;0,52;0,09;11,83;0;0;14,3;-0,08;0;1.016.458.495,00
AFINP;26,01;0;-306,85;1,82;0,87;74,05;20,65;-3,17;47,15;39,26;24,35;0,94;9,74;0;-0,87;0;-0,59;-0,28;1,93;0,48;0,52;0,09;11,83;0;0;14,3;-0,08;0;1.016.458.495,00
AGNC;9,74;14,78;-4,59;0,71;0,11;0;0;0;-9,91;-17,68;-7,78;0,56;0;0;-0,11;0;-15,49;-2,36;-3,87;0,15;0,85;0;0;0;0;13,7;-2,12;0;5.597.158.206,00
AGNCM;20,77;8,28;-9,79;1,52;0,23;0;0;0;-21,13;-17,68;-7,78;0,56;0;0;-0,23;0;-15,49;-2,36;-3,87;0,15;0,85;0;0;0;0;13,7;-2,12;0;5.597.158.206,00
AGNCN;24,63;7,66;-11,61;1,8;0,27;0;0;0;-25,05;-17,68;-7,78;0,56;0;0;-0,27;0;-15,49;-2,36;-3,87;0,15;0,85;0;0;0;0;13,7;-2,12;0;5.597.158.206,00
AGNCO;20,75;7,83;-9,78;1,52;0,23;0;0;0;-21,1;-17,68;-7,78;0,56;0;0;-0,23;0;-15,49;-2,36;-3,87;0,15;0,85;0;0;0;0;13,7;-2,12;0;5.597.158.206,00
AGNCP;19,5;7,85;-9,19;1,42;0,22;0;0;0;-19,83;-17,68;-7,78;0,56;0;0;-0,22;0;-15,49;-2,36;-3,87;0,15;0,85;0;0;0;0;13,7;-2,12;0;5.597.158.206,00
AHH;11,53;6,24;12,35;1,21;0,35;33,95;30,71;13,92;5,6;5,71;0,12;0,02;1,72;0;-0,35;0;9,76;2,82;17,7;0,29;0,71;0,2;8,45;28,85;0;9,56;0,93;0;780.740.114,00
AHT;3,07;0;-0,76;-0,7;0,03;32,63;7,44;-11,27;1,15;36,89;35,75;0;0,09;-0,03;-0,03;0,15;-92,98;-3,57;2,32;-0,04;1,03;0,32;-2,92;0;0;-4,36;-4,05;0;105.899.957,00
AIC;23,25;7,26;190,78;3,08;0,61;100;103,49;14,11;26,02;32,21;29,15;3,45;26,93;0;-0,61;0;1,61;0,32;2,1;0,2;0,8;0,02;-30,1;0;0;7,55;0,12;0;77.441.091,00
AIRC;34,08;5,28;5,62;2,36;0,78;66,23;140,93;116,79;4,66;7,72;3,06;1,55;6,57;0;-0,78;0;41,9;13,79;18,74;0,33;0,66;0,12;-5,1;24,13;0;14,46;6,06;0;5.081.437.056,00
AIV;6,91;0,29;13,68;1,89;0,48;62,28;96,28;39,78;5,65;10,74;5,09;1,7;5,44;0;-0,48;0;13,82;3,47;9,7;0,25;0,67;0,09;-28,31;-24,84;0;3,65;0,51;0;1.035.983.132,00
AIW;25;0;205,14;3,31;0,66;100;103,49;14,11;27,98;32,21;29,15;3,45;28,95;0;-0,66;0;1,61;0,32;2,1;0,2;0,8;0,02;-30,1;0;0;7,55;0,12;0;77.441.091,00
